Email,Address,fName,lName
johndoe@gmail.com,123 Elm Street,John,Doe
johndoe2@gmail.com,123 Elm Street,John,Doe
janedoe@gmail.com,124 Elm St,Jane,Doe
janedoe2@gmail.com,125 Elm St,Jane,Doe
johnsmith@gmail.com,320 Star St,John,Smith
johnsmith2@gmail.com,340 Star St,John,Smith
jsmith@osu.edu,200 Book St,Jane,Smith
samsmith@osu.edu,400 Movie St,Sam,Smith
sammys@gmail.com,200 Movie St,Samatha,Smith
elizah@gmail.com,300 Star St,Eliza,Hamilton
hamilton@gmail.com,300 Star St,Alexander,Hamilton
camik@gmail.com,400 E High St,Cami,Knight
nicolek@gmail.com,400 E High St,Nicole,Knight
sarak@gmail.com,400 E High St,Sara,Knight
nataliek@gmail.com,400 E High St,Natalie,Knight
stephk@gmail.com,400 E High St,Stephanie,Knight
eloisesm@gmail.com,234 E High St,Eloise,Smith
lionelh@gmail.com,235 E High St,Lionel,Hamilton
taylors@gmail.com,200 Song Ave,Taylor,Swift
taylor@gmail.com,205 Movie Ave,Taylor,Lautner
